"WorkID","BillboardName","MediumFormat","File","Changed"
"RE-011920","Squirrel Squirt Beer","billboard","squirrel-squirt-beer.html","Yes"
"RE-011921","Strippers","billboard","strippers.html","Yes"
"RE-011922","Stuckeys, Austin, TX 1985","billboard","stuckeys-austin-tx-1985.html","Yes"
"RE-011923","Sugar, the Other White Powder","billboard","sugar-the-other-white-powder.html","Yes"
"RE-011924","Supermarket 1","billboard","supermarket-1.html","Yes"
"RE-011925","Supermarket 2","billboard","supermarket-2.html","Yes"
"RE-011926","Support Our CEOs","billboard","support-our-ceos.html","Yes"
"RE-011927","Supersize This Mother F@#ker!","poster","supersize-this-mother-fker.html","Yes"
"RE-011928","Supersize Your Thighs","billboard","supersize-your-thighs.html","Yes"
"RE-011929","Surveillance, Austin, TX 1985","billboard","surveillance-austin-tx-1985.html","Yes"
"RE-011930","Thank God for Global Warming","billboard","thank-god-for-global-warming.html","Yes"
"RE-011931","The Cancer Kid, Jersey City, 1996","billboard","the-cancer-kid-jersey-city-1996.html","Yes"
"RE-011932","The Gefkens","billboard","the-gefkens.html","Yes"
"RE-011933","The Invading Aliens from the Beach Party, Austin, TX 1985","billboard","the-invading-aliens-from-the-beach-party-austin-tx-1985.html","Yes"
"RE-011934","The Late Show","billboard","the-late-show.html","Yes"
"RE-011935","The Media Is the Massage Version 2","billboard","the-media-is-the-massage-version-2.html","Yes"
"RE-011936","The Poor - What Are They Good For","billboard","the-poor-what-are-they-good-for.html","Yes"
"RE-011937","The Rabbbits in Delusionville","banner","the-rabbits-in-delusionville.html","Yes"
"RE-011938","Think Different","billboard","think-different.html","Yes"
"RE-011939","Think Different - Manson","billboard","think-different-manson.html","Yes"
"RE-011940","To Serve Man","billboard","to-serve-man.html","Yes"
"RE-011941","Trump - Golden Billionare","Mobile billboard","trump-golden-billionare.html","Yes"
"RE-011942","Trumpty Dumpty","banner","trumpty-dumpty.html","Yes"
"RE-011943","Two Thousand Years in the Tomb","billboard","two-thousand-years-in-the-tomb.html","Yes"
"RE-011944","Wars Fought, Orgies Organized","Billboard-scale painting on paper","wars-fought-orgies-organized.html","Yes"
"RE-011945","We Deceive, You Believe","billboard","we-deceive-you-believe.html","Yes"
"RE-011946","We Deceive, You Believe, Denver CO","billboard","we-deceive-you-believe-denver-co.html","Yes"
"RE-011947","Welcome Wall","poster","welcome-wall.html","Yes"
"RE-011948","Weed Eagle","exact format pending verification","weed-eagle.html","Yes"
"RE-011949","Wellington Court Mural Project","poster","wellington-court-mural-project.html","Yes"
"RE-011950","Where a Clown Belongs, Austin TX 1983","billboard","where-a-clown-belongs-austin-tx-1983.html","Yes"
"RE-011951","What's in Your Body","poster","whats-in-your-body.html","Yes"
"RE-011952","Woodstock Wall","banner","woodstok-wall.html","Yes"
"RE-011953","You Are Not a Clone, Version 2","billboard","you-are-not-a-clone-version-2.html","Yes"
"RE-011954","You Are Not Here","banner","you-are-not-here.html","Yes"
"RE-011955","You Are What You Own","billboard","you-are-what-you-own.html","Yes"
"RE-011956","Your Apathy Is Our Strength","billboard","your-apathy-is-our-strength.html","Yes"
