"Section","File","Changed","TermsLinkStillPresent","MojibakeWarning"
"billboards","se-cres-no-ten-porque-ser-verdade.html","Yes","No","No"
"billboards","shes-smoking-for-two-jersey-city-1996.html","Yes","No","No"
"billboards","shop-while-they-drop.html","Yes","No","No"
"billboards","sideshow-denton-tx-1981.html","Yes","No","No"
"billboards","smoke-a-camel-ron-and-the-artfux-nyc-1990.html","Yes","No","No"
"billboards","smooth-character-jersey-city-1992.html","Yes","No","No"
"billboards","some-freds-are-gonna-roll-nyc-1990.html","Yes","No","No"
"billboards","squirrel-squirt-beer.html","Yes","No","No"
"billboards","strippers.html","Yes","No","No"
"billboards","stuckeys-austin-tx-1985.html","Yes","No","No"
"billboards","sugar-the-other-white-powder.html","Yes","No","No"
"billboards","supermarket-1.html","Yes","No","No"
"billboards","supermarket-2.html","Yes","No","No"
"billboards","supersize-this-mother-fker.html","Yes","No","No"
"billboards","supersize-your-thighs.html","Yes","No","No"
"billboards","support-our-ceos.html","Yes","No","No"
"billboards","surveillance-austin-tx-1985.html","Yes","No","No"
"billboards","thank-god-for-global-warming.html","Yes","No","No"
"billboards","the-cancer-kid-jersey-city-1996.html","Yes","No","No"
"billboards","the-gefkens.html","Yes","No","No"
"billboards","the-invading-aliens-from-the-beach-party-austin-tx-1985.html","Yes","No","No"
"billboards","the-late-show.html","Yes","No","No"
"billboards","the-media-is-the-massage-version-2.html","Yes","No","No"
"billboards","the-poor-what-are-they-good-for.html","Yes","No","No"
"billboards","the-rabbits-in-delusionville.html","Yes","No","No"
"billboards","think-different.html","Yes","No","No"
"billboards","think-different-manson.html","Yes","No","No"
"billboards","to-serve-man.html","Yes","No","No"
"billboards","trump-golden-billionare.html","Yes","No","No"
"billboards","trumpty-dumpty.html","Yes","No","No"
"billboards","two-thousand-years-in-the-tomb.html","Yes","No","No"
"billboards","wars-fought-orgies-organized.html","Yes","No","No"
"billboards","we-deceive-you-believe.html","Yes","No","No"
"billboards","we-deceive-you-believe-denver-co.html","Yes","No","No"
"billboards","weed-eagle.html","Yes","No","No"
"billboards","welcome-wall.html","Yes","No","No"
"billboards","wellington-court-mural-project.html","Yes","No","No"
"billboards","whats-in-your-body.html","Yes","No","No"
"billboards","where-a-clown-belongs-austin-tx-1983.html","Yes","No","No"
"billboards","woodstok-wall.html","Yes","No","No"
"billboards","you-are-not-a-clone-version-2.html","Yes","No","No"
"billboards","you-are-not-here.html","Yes","No","No"
"billboards","you-are-what-you-own.html","Yes","No","No"
"billboards","your-apathy-is-our-strength.html","Yes","No","No"
